"Player","Team","Number","GP","MP","GS","Goals","Shots Stopped by GK","Shots Stopped by Def","Shots Missed","Shots Blocked","All Shots","Shot Accuracy","Shots Pressed","Shots Not Pressed","Pct Shots Pressed","BC Scored","BC SOG","BC Shot Miss","BC Dispossess","BC Created","BC Lost","Big Chances","BC Conversion Pct","Assists","Key Passes","Key Assists","Second Assists","Open Play Assists","Open Play Key Passes","Open Play Key Assists","Open Play Second Assists","Pass Comp","Pass Att","Pass Comp Pct","opPass Comp","opPass Att","opPass Comp Pct","PPass Comp","PPass Att","PPass Comp Pct","Pct opPass Pressed","Cross Comp","Cross Att","Cross Comp Pct","Launch Comp","Launch Att","Launch Comp Pct","Through Comp","Through Att","Through Comp Pct","Throw In Comp","Throw In Att","Throw In Comp Pct","opCross Comp","opCross Att","opCross Comp Pct","opLaunch Comp","opLaunch Att","opLaunch Comp Pct","opThrough Comp","opThrough Att","opThrough Comp Pct","fwPass Comp","fwPass Att","fwPass Comp Pct","sPass Comp","sPass Att","sPass Comp Pct","bPass Comp","bPass Att","bPass Comp Pct","fwopPass Comp","fwopPass Att","fwopPass Comp Pct","sopPass Comp","sopPass Att","sopPass Comp Pct","bopPass Comp","bopPass Att","bopPass Comp Pct","fwPPass Comp","fwPPass Att","fwPPass Comp Pct","sPPass Comp","sPPass Att","sPPass Comp Pct","bPPass Comp","bPPass Att","bPPass Comp Pct","rFreq Pass Fwd","rFreq Pass Side","rFreq Pass Back","rFreq opPass Fwd","rFreq opPass Side","rFreq opPass Back","rFreq PPass Fwd","rFreq PPass Side","rFreq PPass Back","Corner Kicks Completed","Corner Kicks Taken","CK Comp Pct","CK Assist","CK Key Pass","FK Pass Comp","FK Pass Att","FK Pass Comp Pct","FK Assist","FK Key Pass","FK Shot","FK Scored","Free Kicks Taken","TO Won","TO Lost","Take Ons","TO Win Pct","Dispossessed by Opp","Lost Touches","All Possessions Disrupted","Recoveries","Def Recoveries","Poss Recoveries","Aerial Duels","AD Won","AD Lost","AD Win Pct","Fouls Won","Fouls Conceded","Yellow Cards","Red Cards","Penalties Won","Penalties Conceded","Dispossessed Opp","Pressured Opp","Challenged Opp","Interceptions","Blocks","Clearances","Ball Shields","Tackles","Dribbled","All Opp Poss Disrupted","Saves","Goals Allowed","GK SOG Faced","GperSOG","BC Saves","BC Goals Allowed","BC SOG Faced","GperBCSOG","HB Won","HB Lost","High Balls Faced","HB Win Pct","HB Caught","HB Punched","HB Parried","HB Collected","Crosses GK Won","Crosses GK Lost","Crosses GK Faced","CKs GK Won","CKs GK Lost","CKs GK Faced","FKs GK Won","FKs GK Lost","FKs GK Faced","HB Fouls Won","Smothers Won","Smothers Lost","GK Overall Pass Comp","GK Overall Pass Att","GK Overall Pass Comp Pct","GK Throw Comp","GK Throw Att","GK Throw Comp Pct","GK Drop Kick Comp","GK Drop Kick Att","GK Drop Kick Comp Pct","GKFK Comp","GKFK Att","GKFK Comp Pct","Goals per 90","Shots Stopped by GK per 90","Shots Stopped by Def per 90","Shots Missed per 90","Shots Blocked per 90","All Shots per 90","Shots Pressed per 90","Shots Not Pressed per 90","BC Scored per 90","BC SOG per 90","BC Shot Miss per 90","BC Dispossess per 90","BC Created per 90","BC Lost per 90","Big Chances per 90","Assists per 90","Key Passes per 90","Key Assists per 90","Second Assists per 90","Open Play Assists per 90","Open Play Key Passes per 90","Open Play Key Assists per 90","Open Play Second Assists per 90","Pass Comp per 90","Pass Att per 90","opPass Comp per 90","opPass Att per 90","PPass Comp per 90","PPass Att per 90","Cross Comp per 90","Cross Att per 90","Launch Comp per 90","Launch Att per 90","Through Comp per 90","Through Att per 90","Throw In Comp per 90","Throw In Att per 90","opCross Comp per 90","opCross Att per 90","opLaunch Comp per 90","opLaunch Att per 90","opThrough Comp per 90","opThrough Att per 90","fwPass Comp per 90","fwPass Att per 90","sPass Comp per 90","sPass Att per 90","bPass Comp per 90","bPass Att per 90","fwopPass Comp per 90","fwopPass Att per 90","sopPass Comp per 90","sopPass Att per 90","bopPass Comp per 90","bopPass Att per 90","fwPPass Comp per 90","fwPPass Att per 90","sPPass Comp per 90","sPPass Att per 90","bPPass Comp per 90","bPPass Att per 90","Corner Kicks Completed per 90","Corner Kicks Taken per 90","CK Assist per 90","CK Key Pass per 90","FK Pass Comp per 90","FK Pass Att per 90","FK Assist per 90","FK Key Pass per 90","FK Shot per 90","FK Scored per 90","Free Kicks Taken per 90","TO Won per 90","TO Lost per 90","Take Ons per 90","Dispossessed by Opp per 90","Lost Touches per 90","All Possessions Disrupted per 90","Recoveries per 90","Def Recoveries per 90","Poss Recoveries per 90","Aerial Duels per 90","AD Won per 90","AD Lost per 90","Fouls Won per 90","Fouls Conceded per 90","Yellow Cards per 90","Red Cards per 90","Penalties Won per 90","Penalties Conceded per 90","Dispossessed Opp per 90","Pressured Opp per 90","Challenged Opp per 90","Interceptions per 90","Blocks per 90","Clearances per 90","Ball Shields per 90","Tackles per 90","Dribbled per 90","All Opp Poss Disrupted per 90","Saves per 90","Goals Allowed per 90","GK SOG Faced per 90","BC Saves per 90","BC Goals Allowed per 90","BC SOG Faced per 90","HB Won per 90","HB Lost per 90","High Balls Faced per 90","HB Caught per 90","HB Punched per 90","HB Parried per 90","HB Collected per 90","Crosses GK Won per 90","Crosses GK Lost per 90","Crosses GK Faced per 90","CKs GK Won per 90","CKs GK Lost per 90","CKs GK Faced per 90","FKs GK Won per 90","FKs GK Lost per 90","FKs GK Faced per 90","HB Fouls Won per 90","Smothers Won per 90","Smothers Lost per 90","GK Overall Pass Comp per 90","GK Overall Pass Att per 90","GK Throw Comp per 90","GK Throw Att per 90","GK Drop Kick Comp per 90","GK Drop Kick Att per 90","GKFK Comp per 90","GKFK Att per 90"
"Hoy","CRS",0,1,77,1,0,0,0,0,1,1,NA,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,7,11,0.636363636363636,7,11,0.636363636363636,3,4,0.75,0.363636363636364,1,2,0.5,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,0,0,NA,0,0,NA,1,1,1,3,5,0.6,3,5,0.6,1,1,1,3,5,0.6,3,5,0.6,0,0,NA,1,2,0.5,2,2,1,0.0909090909090909,0.454545454545455,0.454545454545455,0.0909090909090909,0.454545454545455,0.454545454545455,0,0.5,0.5,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,2,0.5,2,2,5,5,2,3,5,3,2,0.6,1,0,0,0,0,0,0,15,1,0,0,0,0,2,3,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1.16883116883117,1.16883116883117,1.16883116883117,0,0,0,0,1.16883116883117,0,0,1.16883116883117,0,1.16883116883117,0,0,0,1.16883116883117,0,0,8.18181818181818,12.8571428571429,8.18181818181818,12.8571428571429,3.50649350649351,4.67532467532468,1.16883116883117,2.33766233766234,0,0,0,0,0,0,1.16883116883117,2.33766233766234,0,0,0,0,1.16883116883117,1.16883116883117,3.50649350649351,5.84415584415584,3.50649350649351,5.84415584415584,1.16883116883117,1.16883116883117,3.50649350649351,5.84415584415584,3.50649350649351,5.84415584415584,0,0,1.16883116883117,2.33766233766234,2.33766233766234,2.33766233766234,0,0,0,0,0,0,0,0,0,0,0,1.16883116883117,1.16883116883117,2.33766233766234,2.33766233766234,2.33766233766234,5.84415584415584,5.84415584415584,2.33766233766234,3.50649350649351,5.84415584415584,3.50649350649351,2.33766233766234,1.16883116883117,0,0,0,0,0,0,17.5324675324675,1.16883116883117,0,0,0,0,2.33766233766234,3.50649350649351,2.33766233766234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huerta","CRS",0,1,100,1,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,NA,1,1,1,0,1,1,1,0,21,30,0.7,19,28,0.678571428571429,12,21,0.571428571428571,0.75,2,4,0.5,0,0,NA,2,2,1,2,2,1,2,4,0.5,0,0,NA,2,2,1,8,14,0.571428571428571,4,7,0.571428571428571,9,9,1,7,13,0.538461538461538,3,6,0.5,9,9,1,3,9,0.333333333333333,1,4,0.25,8,8,1,0.466666666666667,0.233333333333333,0.3,0.464285714285714,0.214285714285714,0.321428571428571,0.428571428571429,0.19047619047619,0.380952380952381,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,2,2,0,2,0,4,6,5,1,6,3,3,0.5,0,3,0,0,0,0,4,46,8,1,1,0,0,4,13,8,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.8,0,0,0,1.8,0,1.8,0,0,0,0,0,0,0,0.9,0.9,0.9,0,0.9,0.9,0.9,0,18.9,27,17.1,25.2,10.8,18.9,1.8,3.6,0,0,1.8,1.8,1.8,1.8,1.8,3.6,0,0,1.8,1.8,7.2,12.6,3.6,6.3,8.1,8.1,6.3,11.7,2.7,5.4,8.1,8.1,2.7,8.1,0.9,3.6,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,1.8,0,3.6,5.4,4.5,0.9,5.4,2.7,2.7,0,2.7,0,0,0,0,3.6,41.4,7.2,0.9,0.9,0,0,3.6,11.7,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",0,1,98,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,28,40,0.7,28,40,0.7,14,20,0.7,0.5,0,0,NA,2,4,0.5,0,1,0,0,0,NA,0,0,NA,2,4,0.5,0,1,0,19,29,0.655172413793103,7,9,0.777777777777778,2,2,1,19,29,0.655172413793103,7,9,0.777777777777778,2,2,1,9,14,0.642857142857143,4,5,0.8,1,1,1,0.725,0.225,0.05,0.725,0.225,0.05,0.7,0.25,0.05,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,1,3,18,11,7,3,1,2,0.333333333333333,0,2,0,0,0,0,4,15,4,2,2,2,0,3,1,7,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,36.734693877551,25.7142857142857,36.734693877551,12.8571428571429,18.3673469387755,0,0,1.83673469387755,3.6734693877551,0,0.918367346938775,0,0,0,0,1.83673469387755,3.6734693877551,0,0.918367346938775,17.4489795918367,26.6326530612245,6.42857142857143,8.26530612244898,1.83673469387755,1.83673469387755,17.4489795918367,26.6326530612245,6.42857142857143,8.26530612244898,1.83673469387755,1.83673469387755,8.26530612244898,12.8571428571429,3.6734693877551,4.59183673469388,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,2.75510204081633,16.530612244898,10.1020408163265,6.42857142857143,2.75510204081633,0.918367346938775,1.83673469387755,0,1.83673469387755,0,0,0,0,3.6734693877551,13.7755102040816,3.6734693877551,1.83673469387755,1.83673469387755,1.83673469387755,0,2.75510204081633,0.918367346938775,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","CRS",0,1,100,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,10,15,0.666666666666667,9,14,0.642857142857143,3,6,0.5,0.428571428571429,0,1,0,3,5,0.6,0,1,0,0,0,NA,0,1,0,2,4,0.5,0,1,0,8,13,0.615384615384615,1,1,1,1,1,1,7,12,0.583333333333333,1,1,1,1,1,1,2,5,0.4,0,0,NA,1,1,1,0.866666666666667,0.0666666666666667,0.0666666666666667,0.857142857142857,0.0714285714285714,0.0714285714285714,0.833333333333333,0,0.166666666666667,0,0,NA,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,2,1,1,0.5,0,2,0,0,0,0,0,11,2,1,3,3,0,3,0,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13.5,8.1,12.6,2.7,5.4,0,0.9,2.7,4.5,0,0.9,0,0,0,0.9,1.8,3.6,0,0.9,7.2,11.7,0.9,0.9,0.9,0.9,6.3,10.8,0.9,0.9,0.9,0.9,1.8,4.5,0,0,0.9,0.9,0,0,0,0,0.9,0.9,0,0,0,0,0.9,0.9,0,0.9,0,0,0,0.9,0.9,0,1.8,0.9,0.9,0,1.8,0,0,0,0,0,9.9,1.8,0.9,2.7,2.7,0,2.7,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","WAS",0,1,98,1,0,0,0,0,2,2,NA,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,23,23,1,23,23,1,3,3,1,0.130434782608696,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,10,10,1,11,11,1,2,2,1,10,10,1,11,11,1,2,2,1,2,2,1,1,1,1,0,0,NA,0.434782608695652,0.478260869565217,0.0869565217391304,0.434782608695652,0.478260869565217,0.0869565217391304,0.666666666666667,0.333333333333333,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,0,1,5,3,2,2,1,1,0.5,1,2,0,0,0,0,0,3,2,0,2,4,0,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1.83673469387755,1.83673469387755,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1224489795918,21.1224489795918,21.1224489795918,21.1224489795918,2.75510204081633,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18367346938776,9.18367346938776,10.1020408163265,10.1020408163265,1.83673469387755,1.83673469387755,9.18367346938776,9.18367346938776,10.1020408163265,10.1020408163265,1.83673469387755,1.83673469387755,1.83673469387755,1.83673469387755,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0,0.918367346938775,4.59183673469388,2.75510204081633,1.83673469387755,1.83673469387755,0.918367346938775,0.918367346938775,0.918367346938775,1.83673469387755,0,0,0,0,0,2.75510204081633,1.83673469387755,0,1.83673469387755,3.6734693877551,0,0,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,77,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,1,1,1,0,1,1,1,0,9,16,0.5625,9,16,0.5625,7,10,0.7,0.625,1,1,1,0,0,NA,1,2,0.5,0,0,NA,1,1,1,0,0,NA,1,2,0.5,2,6,0.333333333333333,3,6,0.5,4,4,1,2,6,0.333333333333333,3,6,0.5,4,4,1,2,3,0.666666666666667,2,4,0.5,3,3,1,0.375,0.375,0.25,0.375,0.375,0.25,0.3,0.4,0.3,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,2,5,0.6,1,2,5,2,1,1,9,5,4,0.555555555555556,0,0,0,0,0,0,0,31,1,0,0,1,0,2,7,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1.16883116883117,0,0,0,1.16883116883117,1.16883116883117,0,0,0,0,0,0,0,0,1.16883116883117,1.16883116883117,1.16883116883117,0,1.16883116883117,1.16883116883117,1.16883116883117,0,10.5194805194805,18.7012987012987,10.5194805194805,18.7012987012987,8.18181818181818,11.6883116883117,1.16883116883117,1.16883116883117,0,0,1.16883116883117,2.33766233766234,0,0,1.16883116883117,1.16883116883117,0,0,1.16883116883117,2.33766233766234,2.33766233766234,7.01298701298701,3.50649350649351,7.01298701298701,4.67532467532468,4.67532467532468,2.33766233766234,7.01298701298701,3.50649350649351,7.01298701298701,4.67532467532468,4.67532467532468,2.33766233766234,3.50649350649351,2.33766233766234,4.67532467532468,3.50649350649351,3.50649350649351,0,0,0,0,0,0,0,0,0,0,0,3.50649350649351,2.33766233766234,5.84415584415584,1.16883116883117,2.33766233766234,5.84415584415584,2.33766233766234,1.16883116883117,1.16883116883117,10.5194805194805,5.84415584415584,4.67532467532468,0,0,0,0,0,0,0,36.2337662337662,1.16883116883117,0,0,1.16883116883117,0,2.33766233766234,8.18181818181818,2.33766233766234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,97,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,49,52,0.942307692307692,46,49,0.938775510204082,21,23,0.91304347826087,0.469387755102041,0,0,NA,1,3,0.333333333333333,2,3,0.666666666666667,0,0,NA,0,0,NA,0,2,0,2,3,0.666666666666667,23,25,0.92,21,22,0.954545454545455,5,5,1,21,23,0.91304347826087,20,21,0.952380952380952,5,5,1,11,12,0.916666666666667,5,6,0.833333333333333,5,5,1,0.480769230769231,0.423076923076923,0.0961538461538462,0.469387755102041,0.428571428571429,0.102040816326531,0.521739130434783,0.260869565217391,0.217391304347826,0,0,NA,0,0,3,3,1,0,0,0,0,3,2,0,2,1,0,0,0,10,9,1,2,1,1,0.5,1,0,0,0,0,0,0,18,6,2,1,8,0,1,0,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4639175257732,48.2474226804124,42.680412371134,45.4639175257732,19.4845360824742,21.340206185567,0,0,0.927835051546392,2.78350515463918,1.85567010309278,2.78350515463918,0,0,0,0,0,1.85567010309278,1.85567010309278,2.78350515463918,21.340206185567,23.1958762886598,19.4845360824742,20.4123711340206,4.63917525773196,4.63917525773196,19.4845360824742,21.340206185567,18.5567010309278,19.4845360824742,4.63917525773196,4.63917525773196,10.2061855670103,11.1340206185567,4.63917525773196,5.56701030927835,4.63917525773196,4.63917525773196,0,0,0,0,2.78350515463918,2.78350515463918,0,0,0,0,2.78350515463918,1.85567010309278,0,1.85567010309278,0,0,0,9.27835051546392,8.35051546391753,0.927835051546392,1.85567010309278,0.927835051546392,0.927835051546392,0.927835051546392,0,0,0,0,0,0,16.7010309278351,5.56701030927835,1.85567010309278,0.927835051546392,7.42268041237113,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kastor","FCKC",0,1,12,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,1,2,0.5,0.666666666666667,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,2,0.5,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,7.5,0,0,0,15,22.5,15,22.5,7.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,7.5,7.5,7.5,0,7.5,7.5,7.5,7.5,7.5,0,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,15,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawasumi","SRFC",0,1,94,1,0,1,0,1,0,2,0.5,1,1,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,44,0.659090909090909,28,40,0.7,25,34,0.735294117647059,0.85,1,6,0.166666666666667,2,3,0.666666666666667,0,1,0,1,2,0.5,1,4,0.25,2,3,0.666666666666667,0,1,0,7,14,0.5,11,18,0.611111111111111,11,12,0.916666666666667,7,14,0.5,11,15,0.733333333333333,10,11,0.909090909090909,6,11,0.545454545454545,10,13,0.769230769230769,9,10,0.9,0.318181818181818,0.409090909090909,0.272727272727273,0.35,0.375,0.275,0.323529411764706,0.382352941176471,0.294117647058824,0,2,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,4,1,6,9,7,2,4,2,2,0.5,1,0,0,0,0,0,0,31,3,0,2,1,0,3,7,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.957446808510638,0,0.957446808510638,0,1.91489361702128,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,27.7659574468085,42.1276595744681,26.8085106382979,38.2978723404255,23.936170212766,32.5531914893617,0.957446808510638,5.74468085106383,1.91489361702128,2.87234042553191,0,0.957446808510638,0.957446808510638,1.91489361702128,0.957446808510638,3.82978723404255,1.91489361702128,2.87234042553191,0,0.957446808510638,6.70212765957447,13.4042553191489,10.531914893617,17.2340425531915,10.531914893617,11.4893617021277,6.70212765957447,13.4042553191489,10.531914893617,14.3617021276596,9.57446808510638,10.531914893617,5.74468085106383,10.531914893617,9.57446808510638,12.4468085106383,8.61702127659574,9.57446808510638,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,3.82978723404255,0.957446808510638,5.74468085106383,8.61702127659574,6.70212765957447,1.91489361702128,3.82978723404255,1.91489361702128,1.91489361702128,0.957446808510638,0,0,0,0,0,0,29.6808510638298,2.87234042553191,0,1.91489361702128,0.957446808510638,0,2.87234042553191,6.70212765957447,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",0,1,97,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,54,69,0.782608695652174,51,60,0.85,37,41,0.902439024390244,0.683333333333333,0,5,0,1,2,0.5,2,5,0.4,0,0,NA,0,0,NA,1,2,0.5,2,4,0.5,11,22,0.5,37,41,0.902439024390244,6,6,1,11,20,0.55,34,34,1,6,6,1,6,10,0.6,25,25,1,6,6,1,0.318840579710145,0.594202898550725,0.0869565217391304,0.333333333333333,0.566666666666667,0.1,0.24390243902439,0.609756097560976,0.146341463414634,1,5,0.2,0,0,2,4,0.5,0,0,0,0,4,4,2,6,0.666666666666667,3,3,8,9,6,3,7,4,3,0.571428571428571,1,0,0,0,0,0,0,32,8,1,3,0,0,2,3,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.927835051546392,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1030927835052,64.020618556701,47.319587628866,55.6701030927835,34.3298969072165,38.0412371134021,0,4.63917525773196,0.927835051546392,1.85567010309278,1.85567010309278,4.63917525773196,0,0,0,0,0.927835051546392,1.85567010309278,1.85567010309278,3.71134020618557,10.2061855670103,20.4123711340206,34.3298969072165,38.0412371134021,5.56701030927835,5.56701030927835,10.2061855670103,18.5567010309278,31.5463917525773,31.5463917525773,5.56701030927835,5.56701030927835,5.56701030927835,9.27835051546392,23.1958762886598,23.1958762886598,5.56701030927835,5.56701030927835,0.927835051546392,4.63917525773196,0,0,1.85567010309278,3.71134020618557,0,0,0,0,3.71134020618557,3.71134020618557,1.85567010309278,5.56701030927835,2.78350515463918,2.78350515463918,7.42268041237113,8.35051546391753,5.56701030927835,2.78350515463918,6.49484536082474,3.71134020618557,2.78350515463918,0.927835051546392,0,0,0,0,0,0,29.6907216494845,7.42268041237113,0.927835051546392,2.78350515463918,0,0,1.85567010309278,2.78350515463918,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King","BOS",0,1,97,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,44,61,0.721311475409836,38,49,0.775510204081633,20,26,0.769230769230769,0.530612244897959,1,5,0.2,1,5,0.2,0,3,0,6,12,0.5,0,1,0,1,5,0.2,0,2,0,25,38,0.657894736842105,16,20,0.8,3,3,1,22,32,0.6875,13,14,0.928571428571429,3,3,1,13,18,0.722222222222222,4,5,0.8,3,3,1,0.622950819672131,0.327868852459016,0.0491803278688525,0.653061224489796,0.285714285714286,0.0612244897959184,0.692307692307692,0.192307692307692,0.115384615384615,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0,1,1,0,0,0,10,9,1,8,5,3,0.625,1,0,0,0,0,0,0,18,4,1,3,3,0,4,6,4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.927835051546392,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8247422680412,56.5979381443299,35.2577319587629,45.4639175257732,18.5567010309278,24.1237113402062,0.927835051546392,4.63917525773196,0.927835051546392,4.63917525773196,0,2.78350515463918,5.56701030927835,11.1340206185567,0,0.927835051546392,0.927835051546392,4.63917525773196,0,1.85567010309278,23.1958762886598,35.2577319587629,14.8453608247423,18.5567010309278,2.78350515463918,2.78350515463918,20.4123711340206,29.6907216494845,12.0618556701031,12.9896907216495,2.78350515463918,2.78350515463918,12.0618556701031,16.7010309278351,3.71134020618557,4.63917525773196,2.78350515463918,2.78350515463918,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,0,9.27835051546392,8.35051546391753,0.927835051546392,7.42268041237113,4.63917525773196,2.78350515463918,0.927835051546392,0,0,0,0,0,0,16.7010309278351,3.71134020618557,0.927835051546392,2.78350515463918,2.78350515463918,0,3.71134020618557,5.56701030927835,3.71134020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
