"Player","Team","Number","GP","MP","GS","Goals","Shots Stopped by GK","Shots Stopped by Def","Shots Missed","Shots Blocked","All Shots","Shot Accuracy","Shots Pressed","Shots Not Pressed","Pct Shots Pressed","BC Scored","BC SOG","BC Shot Miss","BC Dispossess","BC Created","BC Lost","Big Chances","BC Conversion Pct","Assists","Key Passes","Key Assists","Second Assists","Open Play Assists","Open Play Key Passes","Open Play Key Assists","Open Play Second Assists","Pass Comp","Pass Att","Pass Comp Pct","opPass Comp","opPass Att","opPass Comp Pct","PPass Comp","PPass Att","PPass Comp Pct","Pct opPass Pressed","Cross Comp","Cross Att","Cross Comp Pct","Launch Comp","Launch Att","Launch Comp Pct","Through Comp","Through Att","Through Comp Pct","Throw In Comp","Throw In Att","Throw In Comp Pct","opCross Comp","opCross Att","opCross Comp Pct","opLaunch Comp","opLaunch Att","opLaunch Comp Pct","opThrough Comp","opThrough Att","opThrough Comp Pct","fwPass Comp","fwPass Att","fwPass Comp Pct","sPass Comp","sPass Att","sPass Comp Pct","bPass Comp","bPass Att","bPass Comp Pct","fwopPass Comp","fwopPass Att","fwopPass Comp Pct","sopPass Comp","sopPass Att","sopPass Comp Pct","bopPass Comp","bopPass Att","bopPass Comp Pct","fwPPass Comp","fwPPass Att","fwPPass Comp Pct","sPPass Comp","sPPass Att","sPPass Comp Pct","bPPass Comp","bPPass Att","bPPass Comp Pct","rFreq Pass Fwd","rFreq Pass Side","rFreq Pass Back","rFreq opPass Fwd","rFreq opPass Side","rFreq opPass Back","rFreq PPass Fwd","rFreq PPass Side","rFreq PPass Back","Corner Kicks Completed","Corner Kicks Taken","CK Comp Pct","CK Assist","CK Key Pass","FK Pass Comp","FK Pass Att","FK Pass Comp Pct","FK Assist","FK Key Pass","FK Shot","FK Scored","Free Kicks Taken","TO Won","TO Lost","Take Ons","TO Win Pct","Dispossessed by Opp","Lost Touches","All Possessions Disrupted","Recoveries","Def Recoveries","Poss Recoveries","Aerial Duels","AD Won","AD Lost","AD Win Pct","Fouls Won","Fouls Conceded","Yellow Cards","Red Cards","Penalties Won","Penalties Conceded","Dispossessed Opp","Pressured Opp","Challenged Opp","Interceptions","Blocks","Clearances","Ball Shields","Tackles","Dribbled","All Opp Poss Disrupted","Saves","Goals Allowed","GK SOG Faced","GperSOG","BC Saves","BC Goals Allowed","BC SOG Faced","GperBCSOG","HB Won","HB Lost","High Balls Faced","HB Win Pct","HB Caught","HB Punched","HB Parried","HB Collected","Crosses GK Won","Crosses GK Lost","Crosses GK Faced","CKs GK Won","CKs GK Lost","CKs GK Faced","FKs GK Won","FKs GK Lost","FKs GK Faced","HB Fouls Won","Smothers Won","Smothers Lost","GK Overall Pass Comp","GK Overall Pass Att","GK Overall Pass Comp Pct","GK Throw Comp","GK Throw Att","GK Throw Comp Pct","GK Drop Kick Comp","GK Drop Kick Att","GK Drop Kick Comp Pct","GKFK Comp","GKFK Att","GKFK Comp Pct","Goals per 90","Shots Stopped by GK per 90","Shots Stopped by Def per 90","Shots Missed per 90","Shots Blocked per 90","All Shots per 90","Shots Pressed per 90","Shots Not Pressed per 90","BC Scored per 90","BC SOG per 90","BC Shot Miss per 90","BC Dispossess per 90","BC Created per 90","BC Lost per 90","Big Chances per 90","Assists per 90","Key Passes per 90","Key Assists per 90","Second Assists per 90","Open Play Assists per 90","Open Play Key Passes per 90","Open Play Key Assists per 90","Open Play Second Assists per 90","Pass Comp per 90","Pass Att per 90","opPass Comp per 90","opPass Att per 90","PPass Comp per 90","PPass Att per 90","Cross Comp per 90","Cross Att per 90","Launch Comp per 90","Launch Att per 90","Through Comp per 90","Through Att per 90","Throw In Comp per 90","Throw In Att per 90","opCross Comp per 90","opCross Att per 90","opLaunch Comp per 90","opLaunch Att per 90","opThrough Comp per 90","opThrough Att per 90","fwPass Comp per 90","fwPass Att per 90","sPass Comp per 90","sPass Att per 90","bPass Comp per 90","bPass Att per 90","fwopPass Comp per 90","fwopPass Att per 90","sopPass Comp per 90","sopPass Att per 90","bopPass Comp per 90","bopPass Att per 90","fwPPass Comp per 90","fwPPass Att per 90","sPPass Comp per 90","sPPass Att per 90","bPPass Comp per 90","bPPass Att per 90","Corner Kicks Completed per 90","Corner Kicks Taken per 90","CK Assist per 90","CK Key Pass per 90","FK Pass Comp per 90","FK Pass Att per 90","FK Assist per 90","FK Key Pass per 90","FK Shot per 90","FK Scored per 90","Free Kicks Taken per 90","TO Won per 90","TO Lost per 90","Take Ons per 90","Dispossessed by Opp per 90","Lost Touches per 90","All Possessions Disrupted per 90","Recoveries per 90","Def Recoveries per 90","Poss Recoveries per 90","Aerial Duels per 90","AD Won per 90","AD Lost per 90","Fouls Won per 90","Fouls Conceded per 90","Yellow Cards per 90","Red Cards per 90","Penalties Won per 90","Penalties Conceded per 90","Dispossessed Opp per 90","Pressured Opp per 90","Challenged Opp per 90","Interceptions per 90","Blocks per 90","Clearances per 90","Ball Shields per 90","Tackles per 90","Dribbled per 90","All Opp Poss Disrupted per 90","Saves per 90","Goals Allowed per 90","GK SOG Faced per 90","BC Saves per 90","BC Goals Allowed per 90","BC SOG Faced per 90","HB Won per 90","HB Lost per 90","High Balls Faced per 90","HB Caught per 90","HB Punched per 90","HB Parried per 90","HB Collected per 90","Crosses GK Won per 90","Crosses GK Lost per 90","Crosses GK Faced per 90","CKs GK Won per 90","CKs GK Lost per 90","CKs GK Faced per 90","FKs GK Won per 90","FKs GK Lost per 90","FKs GK Faced per 90","HB Fouls Won per 90","Smothers Won per 90","Smothers Lost per 90","GK Overall Pass Comp per 90","GK Overall Pass Att per 90","GK Throw Comp per 90","GK Throw Att per 90","GK Drop Kick Comp per 90","GK Drop Kick Att per 90","GKFK Comp per 90","GKFK Att per 90"
"Gordon","SBFC",0,1,12,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,5,5,1,5,5,1,4,4,1,0.8,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,2,1,0,0,NA,3,3,1,2,2,1,0,0,NA,3,3,1,2,2,1,0,0,NA,2,2,1,0.4,0,0.6,0.4,0,0.6,0.5,0,0.5,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,2,2,0,0,0,2,6,5,1,1,1,0,1,0,0,0,0,0,0,2,4,0,0,1,1,0,0,0,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,37.5,37.5,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,22.5,22.5,15,15,0,0,22.5,22.5,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,15,45,37.5,7.5,7.5,7.5,0,0,0,0,0,0,0,15,30,0,0,7.5,7.5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,96,1,0,1,1,0,0,2,1,0,2,0,0,2,0,0,1,0,2,0,0,1,0,0,0,1,0,0,13,19,0.684210526315789,13,19,0.684210526315789,9,11,0.818181818181818,0.578947368421053,0,0,NA,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,0,0,1,0,4,9,0.444444444444444,3,3,1,6,7,0.857142857142857,4,9,0.444444444444444,3,3,1,6,7,0.857142857142857,2,3,0.666666666666667,1,1,1,6,7,0.857142857142857,0.473684210526316,0.157894736842105,0.368421052631579,0.473684210526316,0.157894736842105,0.368421052631579,0.272727272727273,0.0909090909090909,0.636363636363636,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,1,4,0.75,3,4,8,3,2,1,8,4,4,0.5,1,0,0,0,0,0,0,23,3,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.9375,0.9375,0,0,1.875,0,1.875,0,1.875,0,0,0.9375,0,1.875,0,0.9375,0,0,0,0.9375,0,0,12.1875,17.8125,12.1875,17.8125,8.4375,10.3125,0,0,0,0.9375,0,0.9375,0,0,0,0,0,0.9375,0,0.9375,3.75,8.4375,2.8125,2.8125,5.625,6.5625,3.75,8.4375,2.8125,2.8125,5.625,6.5625,1.875,2.8125,0.9375,0.9375,5.625,6.5625,0,0,0,0,0,0,0,0,0,0,0,2.8125,0.9375,3.75,2.8125,3.75,7.5,2.8125,1.875,0.9375,7.5,3.75,3.75,0.9375,0,0,0,0,0,0,21.5625,2.8125,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,27,31,0.870967741935484,27,31,0.870967741935484,14,17,0.823529411764706,0.548387096774194,1,1,1,2,5,0.4,0,0,NA,0,0,NA,1,1,1,2,5,0.4,0,0,NA,13,17,0.764705882352941,8,8,1,6,6,1,13,17,0.764705882352941,8,8,1,6,6,1,7,10,0.7,2,2,1,5,5,1,0.548387096774194,0.258064516129032,0.193548387096774,0.548387096774194,0.258064516129032,0.193548387096774,0.588235294117647,0.117647058823529,0.294117647058824,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,7,6,1,8,3,5,0.375,0,0,1,0,0,0,0,10,2,1,1,5,0,4,2,4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5789473684211,29.3684210526316,25.5789473684211,29.3684210526316,13.2631578947368,16.1052631578947,0.947368421052632,0.947368421052632,1.89473684210526,4.73684210526316,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,4.73684210526316,0,0,12.3157894736842,16.1052631578947,7.57894736842105,7.57894736842105,5.68421052631579,5.68421052631579,12.3157894736842,16.1052631578947,7.57894736842105,7.57894736842105,5.68421052631579,5.68421052631579,6.63157894736842,9.47368421052632,1.89473684210526,1.89473684210526,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,6.63157894736842,5.68421052631579,0.947368421052632,7.57894736842105,2.84210526315789,4.73684210526316,0,0,0.947368421052632,0,0,0,0,9.47368421052632,1.89473684210526,0.947368421052632,0.947368421052632,4.73684210526316,0,3.78947368421053,1.89473684210526,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagen","ORL",0,1,18,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4,8,0.5,4,8,0.5,3,4,0.75,0.5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3,5,0.6,0,1,0,1,2,0.5,3,5,0.6,0,1,0,1,2,0.5,2,2,1,0,0,NA,1,2,0.5,0.625,0.125,0.25,0.625,0.125,0.25,0.5,0,0.5,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,4,1,3,0.25,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,20,40,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,5,5,10,15,25,0,5,5,10,10,10,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,5,20,5,15,0,10,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,11,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,NA,0,0,0,NA,0,1,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,0,NA,0,1,0,0,1,0,0,0,NA,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.5,0.5,0,0.5,0.5,0,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3636363636364,0,16.3636363636364,0,0,0,0,0,8.18181818181818,0,0,0,0,0,0,0,8.18181818181818,0,0,0,8.18181818181818,0,8.18181818181818,0,0,0,8.18181818181818,0,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,24.5454545454545,16.3636363636364,0,0,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,18,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,1,2,0.5,0.666666666666667,0,0,NA,0,0,NA,1,2,0.5,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,1,2,0.5,0,0,NA,1,1,1,1,2,0.5,0,0,NA,1,1,1,0,1,0,0,0,NA,1,1,1,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.5,0,0.5,0,0,NA,0,0,0,0,NA,0,0,0,0,0,2,0,2,1,1,1,2,3,3,0,0,0,0,NA,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,10,15,5,10,0,0,0,0,5,10,0,0,0,0,0,0,5,10,5,10,0,0,5,5,5,10,0,0,5,5,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,10,0,10,5,5,10,15,15,0,0,0,0,0,0,0,0,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","ORL",0,1,96,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,32,36,0.888888888888889,15,16,0.9375,4,4,1,0.25,0,0,NA,7,9,0.777777777777778,0,0,NA,0,0,NA,0,0,NA,3,4,0.75,0,0,NA,30,33,0.909090909090909,2,2,1,0,1,0,13,13,1,2,2,1,0,1,0,5,5,1,0,0,NA,0,0,NA,0.916666666666667,0.0555555555555556,0.0277777777777778,0.8125,0.125,0.0625,1.25,0,0,0,0,NA,0,0,2,2,1,0,0,0,0,2,0,0,0,NA,0,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4,0.5,1,1,2,0.5,5,0,5,1,3,0,0,2,3,0,3,0,0,0,1,0,1,0,3,0,32,36,0.888888888888889,4,5,0.8,2,3,0.666666666666667,11,12,0.916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33.75,14.0625,15,3.75,3.75,0,0,6.5625,8.4375,0,0,0,0,0,0,2.8125,3.75,0,0,28.125,30.9375,1.875,1.875,0,0.9375,12.1875,12.1875,1.875,1.875,0,0.9375,4.6875,4.6875,0,0,0,0,0,0,0,0,1.875,1.875,0,0,0,0,1.875,0,0,0,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,1.875,1.875,3.75,0.9375,0.9375,1.875,4.6875,0,4.6875,2.8125,0,0,1.875,2.8125,0,2.8125,0,0,0,0.9375,0,0.9375,0,2.8125,0,30,33.75,3.75,4.6875,1.875,2.8125,10.3125,11.25
"Hayes","SBFC",0,1,66,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,15,21,0.714285714285714,15,20,0.75,13,13,1,0.65,0,0,NA,0,1,0,0,1,0,0,1,0,0,0,NA,0,1,0,0,1,0,2,5,0.4,6,8,0.75,7,8,0.875,2,5,0.4,6,7,0.857142857142857,7,8,0.875,1,1,1,5,5,1,7,7,1,0.238095238095238,0.380952380952381,0.380952380952381,0.25,0.35,0.4,0.0769230769230769,0.384615384615385,0.538461538461538,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,2,0.5,1,0,2,7,5,2,3,2,1,0.666666666666667,0,0,0,0,0,0,0,34,3,1,2,2,0,1,2,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4545454545455,28.6363636363636,20.4545454545455,27.2727272727273,17.7272727272727,17.7272727272727,0,0,0,1.36363636363636,0,1.36363636363636,0,1.36363636363636,0,0,0,1.36363636363636,0,1.36363636363636,2.72727272727273,6.81818181818182,8.18181818181818,10.9090909090909,9.54545454545454,10.9090909090909,2.72727272727273,6.81818181818182,8.18181818181818,9.54545454545454,9.54545454545454,10.9090909090909,1.36363636363636,1.36363636363636,6.81818181818182,6.81818181818182,9.54545454545454,9.54545454545454,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,1.36363636363636,2.72727272727273,1.36363636363636,0,2.72727272727273,9.54545454545454,6.81818181818182,2.72727272727273,4.09090909090909,2.72727272727273,1.36363636363636,0,0,0,0,0,0,0,46.3636363636364,4.09090909090909,1.36363636363636,2.72727272727273,2.72727272727273,0,1.36363636363636,2.72727272727273,1.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,95,1,0,1,0,1,0,2,0.5,1,1,0.5,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,35,48,0.729166666666667,32,38,0.842105263157895,27,31,0.870967741935484,0.815789473684211,4,13,0.307692307692308,1,2,0.5,1,1,1,1,1,1,2,5,0.4,1,1,1,1,1,1,12,16,0.75,12,20,0.6,11,12,0.916666666666667,11,14,0.785714285714286,11,13,0.846153846153846,10,11,0.909090909090909,10,12,0.833333333333333,9,10,0.9,8,9,0.888888888888889,0.333333333333333,0.416666666666667,0.25,0.368421052631579,0.342105263157895,0.289473684210526,0.387096774193548,0.32258064516129,0.290322580645161,0,6,0,0,0,2,3,0.666666666666667,1,0,0,0,3,13,2,15,0.866666666666667,7,2,11,11,8,3,1,0,1,0,3,0,0,0,0,0,1,23,5,1,4,0,0,2,1,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.947368421052632,0,0.947368421052632,0,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,33.1578947368421,45.4736842105263,30.3157894736842,36,25.5789473684211,29.3684210526316,3.78947368421053,12.3157894736842,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,1.89473684210526,4.73684210526316,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,11.3684210526316,15.1578947368421,11.3684210526316,18.9473684210526,10.4210526315789,11.3684210526316,10.4210526315789,13.2631578947368,10.4210526315789,12.3157894736842,9.47368421052632,10.4210526315789,9.47368421052632,11.3684210526316,8.52631578947368,9.47368421052632,7.57894736842105,8.52631578947368,0,5.68421052631579,0,0,1.89473684210526,2.84210526315789,0.947368421052632,0,0,0,2.84210526315789,12.3157894736842,1.89473684210526,14.2105263157895,6.63157894736842,1.89473684210526,10.4210526315789,10.4210526315789,7.57894736842105,2.84210526315789,0.947368421052632,0,0.947368421052632,2.84210526315789,0,0,0,0,0,0.947368421052632,21.7894736842105,4.73684210526316,0.947368421052632,3.78947368421053,0,0,1.89473684210526,0.947368421052632,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,58,77,0.753246753246753,58,77,0.753246753246753,39,48,0.8125,0.623376623376623,1,4,0.25,3,9,0.333333333333333,1,5,0.2,0,0,NA,1,4,0.25,3,9,0.333333333333333,1,5,0.2,34,52,0.653846153846154,14,14,1,10,11,0.909090909090909,34,52,0.653846153846154,14,14,1,10,11,0.909090909090909,24,33,0.727272727272727,8,8,1,7,7,1,0.675324675324675,0.181818181818182,0.142857142857143,0.675324675324675,0.181818181818182,0.142857142857143,0.6875,0.166666666666667,0.145833333333333,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,2,11,7,4,4,1,3,0.25,1,1,0,0,0,0,1,25,4,1,1,3,0,2,0,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,54.9473684210526,72.9473684210526,54.9473684210526,72.9473684210526,36.9473684210526,45.4736842105263,0.947368421052632,3.78947368421053,2.84210526315789,8.52631578947368,0.947368421052632,4.73684210526316,0,0,0.947368421052632,3.78947368421053,2.84210526315789,8.52631578947368,0.947368421052632,4.73684210526316,32.2105263157895,49.2631578947368,13.2631578947368,13.2631578947368,9.47368421052632,10.4210526315789,32.2105263157895,49.2631578947368,13.2631578947368,13.2631578947368,9.47368421052632,10.4210526315789,22.7368421052632,31.2631578947368,7.57894736842105,7.57894736842105,6.63157894736842,6.63157894736842,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,1.89473684210526,10.4210526315789,6.63157894736842,3.78947368421053,3.78947368421053,0.947368421052632,2.84210526315789,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,23.6842105263158,3.78947368421053,0.947368421052632,0.947368421052632,2.84210526315789,0,1.89473684210526,0,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hickmann Alves","ORL",0,1,96,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,59,66,0.893939393939394,57,63,0.904761904761905,12,13,0.923076923076923,0.206349206349206,0,1,0,4,7,0.571428571428571,0,1,0,0,0,NA,0,1,0,4,6,0.666666666666667,0,1,0,26,32,0.8125,23,24,0.958333333333333,10,10,1,26,31,0.838709677419355,21,22,0.954545454545455,10,10,1,6,6,1,2,3,0.666666666666667,4,4,1,0.484848484848485,0.363636363636364,0.151515151515152,0.492063492063492,0.349206349206349,0.158730158730159,0.461538461538462,0.230769230769231,0.307692307692308,0,0,NA,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,NA,0,1,1,10,8,2,3,1,2,0.333333333333333,0,1,0,0,0,0,0,3,2,0,4,1,0,1,3,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,55.3125,61.875,53.4375,59.0625,11.25,12.1875,0,0.9375,3.75,6.5625,0,0.9375,0,0,0,0.9375,3.75,5.625,0,0.9375,24.375,30,21.5625,22.5,9.375,9.375,24.375,29.0625,19.6875,20.625,9.375,9.375,5.625,5.625,1.875,2.8125,3.75,3.75,0,0,0,0,1.875,2.8125,0,0,0,0,2.8125,0,0,0,0,0.9375,0.9375,9.375,7.5,1.875,2.8125,0.9375,1.875,0,0.9375,0,0,0,0,0,2.8125,1.875,0,3.75,0.9375,0,0.9375,2.8125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,95,1,1,1,0,1,1,4,0.666666666666667,1,3,0.25,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,42,50,0.84,41,49,0.836734693877551,28,33,0.848484848484849,0.673469387755102,1,1,1,2,4,0.5,1,3,0.333333333333333,1,1,1,1,1,1,2,4,0.5,1,3,0.333333333333333,13,18,0.722222222222222,12,15,0.8,17,17,1,13,18,0.722222222222222,11,14,0.785714285714286,17,17,1,7,10,0.7,8,10,0.8,13,13,1,0.36,0.3,0.34,0.36734693877551,0.285714285714286,0.346938775510204,0.303030303030303,0.303030303030303,0.393939393939394,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,4,3,8,9,6,3,15,8,7,0.533333333333333,0,2,0,0,0,0,0,31,2,1,1,1,0,2,1,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.947368421052632,0.947368421052632,0,0.947368421052632,0.947368421052632,3.78947368421053,0.947368421052632,2.84210526315789,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0.947368421052632,0,0,39.7894736842105,47.3684210526316,38.8421052631579,46.421052631579,26.5263157894737,31.2631578947368,0.947368421052632,0.947368421052632,1.89473684210526,3.78947368421053,0.947368421052632,2.84210526315789,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,1.89473684210526,3.78947368421053,0.947368421052632,2.84210526315789,12.3157894736842,17.0526315789474,11.3684210526316,14.2105263157895,16.1052631578947,16.1052631578947,12.3157894736842,17.0526315789474,10.4210526315789,13.2631578947368,16.1052631578947,16.1052631578947,6.63157894736842,9.47368421052632,7.57894736842105,9.47368421052632,12.3157894736842,12.3157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,3.78947368421053,2.84210526315789,7.57894736842105,8.52631578947368,5.68421052631579,2.84210526315789,14.2105263157895,7.57894736842105,6.63157894736842,0,1.89473684210526,0,0,0,0,0,29.3684210526316,1.89473684210526,0.947368421052632,0.947368421052632,0.947368421052632,0,1.89473684210526,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
